s0,s1,s2,s3,s4,s5,s6,action
0.96,1.87,0.97,0.93,0.89,0.0,0.0,1.0
0.87,1.93,0.88,0.85,0.81,0.0,0.0,1.0
0.79,1.94,0.8,0.77,0.73,0.0,0.0,1.0
0.91,1.86,0.71,0.68,0.64,0.0,0.0,1.0
1.0,1.8,0.62,0.59,0.55,0.0,0.0,1.0
1.08,1.73,0.54,0.5,0.45,0.0,0.0,1.0
1.17,1.65,0.45,0.4,0.37,0.0,0.0,1.0
1.26,1.57,0.36,0.31,0.27,0.0,0.0,1.0
1.34,1.51,0.27,0.23,0.18,0.0,0.0,1.0
1.42,1.42,0.18,0.14,0.09,0.0,0.0,1.0
1.5,1.34,0.09,0.04,0.0,0.0,0.0,1.0
1.58,1.27,0.0,0.0,0.0,0.0,0.0,1.0
1.64,1.18,0.0,0.0,0.0,0.0,0.0,1.0
1.73,1.11,0.0,0.0,0.0,0.0,0.0,1.0
1.79,1.02,0.0,0.0,0.0,0.0,0.0,1.0
1.87,0.93,0.0,0.0,0.0,0.0,0.0,0.0
1.87,0.95,0.0,0.0,0.0,0.0,0.0,1.0
1.94,0.86,0.0,0.0,0.0,0.0,0.0,0.0
1.95,0.87,0.0,0.0,0.0,0.0,0.0,0.0
1.95,0.86,0.0,0.0,0.0,0.0,0.0,0.0
1.96,0.88,0.0,0.0,0.0,0.0,0.0,0.0
1.98,0.87,0.0,0.0,0.0,0.0,0.0,0.0
1.98,0.88,0.0,0.0,0.0,0.0,0.0,0.0
1.99,0.88,0.0,0.0,0.0,0.0,0.0,0.0
1.99,0.89,0.0,0.0,0.0,0.0,0.0,0.0
2.01,0.89,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
2.02,0.91,0.0,0.0,0.0,0.0,0.0,0.0
2.01,0.91,0.0,0.0,0.0,0.0,0.0,0.0
2.03,0.92,0.0,0.0,0.0,0.0,0.0,0.0
2.03,0.92,0.0,0.0,0.0,0.0,0.0,0.0
2.04,0.91,0.0,0.0,0.0,0.0,0.0,0.0
2.04,0.92,0.0,0.0,0.0,0.0,0.0,0.0
2.06,0.94,0.0,0.0,0.0,0.0,0.0,0.0
2.05,0.93,0.0,0.0,0.0,0.0,0.0,0.0
2.07,0.94,0.0,0.0,0.0,0.0,0.0,0.0
2.06,0.94,0.0,0.0,0.0,0.0,0.0,0.0
2.08,0.95,0.0,0.0,0.0,0.0,0.0,0.0
2.07,0.95,0.0,0.0,0.0,0.0,0.0,0.0
2.09,0.96,0.0,0.0,0.0,0.0,0.0,0.0
2.09,0.97,0.0,0.0,0.0,0.0,0.0,0.0
2.11,0.96,0.0,0.0,0.0,0.0,0.0,0.0
2.1,0.98,0.0,0.0,0.0,0.0,0.0,0.0
2.12,0.97,0.0,0.0,0.0,0.0,0.0,1.0
2.12,0.89,0.0,0.0,0.0,0.0,0.0,0.0
2.1,0.88,0.0,0.0,0.0,0.0,0.0,0.0
2.11,0.89,0.0,0.0,0.0,0.0,0.0,0.0
2.09,0.88,0.0,0.0,0.0,0.0,0.0,0.0
2.1,0.89,0.0,0.0,0.0,0.0,0.0,0.0
2.09,0.87,0.0,0.0,0.0,0.0,0.0,0.0
2.1,0.88,0.0,0.0,0.0,0.0,0.0,0.0
2.08,0.87,0.0,0.0,0.0,0.0,0.0,0.0
2.09,0.86,0.0,0.0,0.0,0.0,0.0,0.0
2.08,0.87,0.0,0.0,0.0,0.0,0.0,0.0
2.09,0.87,0.0,0.0,0.0,0.0,0.0,0.0
2.07,0.86,0.0,0.0,0.0,0.0,0.0,0.0
2.08,0.85,0.0,0.0,0.0,0.0,0.0,0.0
2.06,0.86,0.0,0.0,0.0,0.0,0.0,0.0
2.07,0.86,0.0,0.0,0.0,0.0,0.0,0.0
2.06,0.85,0.0,0.0,0.0,0.0,0.0,0.0
2.07,0.86,0.0,0.0,0.0,0.0,0.0,0.0
2.05,0.85,0.18,0.18,0.18,0.0,0.0,0.0
2.06,0.85,0.36,0.36,0.36,0.0,0.0,0.0
2.05,0.85,0.54,0.54,0.54,0.0,0.0,0.0
2.05,0.85,0.72,0.72,0.71,0.0,0.0,0.0
2.04,0.84,0.9,0.9,0.89,0.02,0.0,0.0
2.05,0.84,1.08,1.08,1.07,0.15,0.0,0.0
2.03,0.84,1.26,1.25,1.25,0.27,0.0,0.0
2.04,0.84,1.44,1.43,1.43,0.4,0.0,0.0
2.03,0.83,1.62,1.61,1.61,0.54,0.0,0.0
2.04,0.84,1.8,1.79,1.79,0.67,0.0,0.0
2.02,0.82,1.98,1.97,1.97,0.79,0.0,1.0
1.95,0.93,1.92,1.91,1.91,0.7,0.0,1.0
1.88,1.01,1.86,1.85,1.84,0.61,0.0,1.0
1.81,1.09,1.79,1.76,1.75,0.53,0.0,1.0
1.74,1.18,1.71,1.7,1.68,0.43,0.0,1.0
1.67,1.25,1.64,1.61,1.6,0.34,0.0,1.0
1.57,1.33,1.56,1.54,1.53,0.25,0.0,1.0
1.5,1.41,1.5,1.46,1.45,0.16,0.0,1.0
1.41,1.5,1.41,1.4,1.36,0.06,0.0,1.0
1.35,1.58,1.33,1.32,1.28,0.0,0.0,1.0
1.26,1.65,1.25,1.22,1.19,0.0,0.0,1.0
1.18,1.74,1.18,1.13,1.12,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
0.0,0.0,0.0,0.03,0.05,0.15,0.0,0.0
0.0,0.0,0.14,0.16,0.19,0.28,0.0,0.0
0.0,0.0,0.26,0.29,0.31,0.42,0.0,0.0
0.0,0.0,0.4,0.42,0.45,0.56,0.0,0.0
0.0,0.0,0.52,0.55,0.57,0.7,0.0,0.0
0.0,0.0,0.66,0.68,0.7,0.83,0.0,0.0
0.0,0.0,0.77,0.8,0.82,0.97,0.0,0.0
0.0,0.0,0.91,0.93,0.96,1.11,0.0,0.0
0.0,0.0,1.03,1.06,1.08,1.24,0.01,0.0
0.0,0.0,1.17,1.19,1.22,1.38,0.13,0.0
0.0,0.01,1.28,1.32,1.33,1.53,0.23,0.0
0.0,0.12,1.43,1.44,1.48,1.66,0.34,0.0
0.0,0.22,1.53,1.57,1.58,1.79,0.45,2.0
0.0,0.13,1.47,1.48,1.51,1.89,0.55,2.0
0.0,0.03,1.36,1.39,1.42,1.96,0.65,2.0
0.0,0.0,1.28,1.31,1.34,2.03,0.74,2.0
0.0,0.0,1.21,1.23,1.25,2.14,0.83,2.0
0.0,0.0,1.11,1.13,1.18,2.21,0.92,2.0
0.0,0.0,1.03,1.05,1.08,2.28,1.02,2.0
0.0,0.0,0.93,0.96,0.99,2.23,1.1,2.0
0.0,0.0,0.83,0.87,0.92,2.16,1.19,2.0
0.0,0.0,0.74,0.78,0.83,2.05,1.27,2.0
0.0,0.0,0.65,0.69,0.73,1.98,1.38,2.0
0.0,0.0,0.56,0.6,0.64,1.91,1.47,2.0
0.0,0.0,0.46,0.51,0.56,1.84,1.56,2.0
0.0,0.0,0.37,0.41,0.46,1.73,1.62,2.0
0.0,0.0,0.28,0.32,0.36,1.67,1.72,2.0
0.0,0.0,0.18,0.22,0.27,1.57,1.79,2.0
0.0,0.0,0.08,0.13,0.18,1.48,1.89,2.0
0.0,0.0,0.0,0.03,0.08,1.39,1.96,2.0
0.0,0.0,0.0,0.0,0.0,1.31,2.03,2.0
0.0,0.0,0.0,0.0,0.0,1.23,2.14,2.0
0.0,0.0,0.0,0.0,0.0,1.13,2.21,2.0
0.0,0.0,0.0,0.0,0.0,1.05,2.28,0.0
0.0,0.0,0.0,0.0,0.0,1.05,2.27,0.0
0.0,0.0,0.0,0.0,0.0,1.06,2.29,0.0
0.0,0.0,0.0,0.0,0.0,1.05,2.27,0.0
0.0,0.0,0.0,0.0,0.0,1.06,2.3,2.0
0.0,0.0,0.0,0.0,0.0,0.97,2.24,0.0
0.0,0.0,0.0,0.0,0.0,0.97,2.22,0.0
0.0,0.0,0.0,0.0,0.0,0.96,2.23,0.0
0.0,0.0,0.0,0.0,0.0,0.96,2.2,0.0
0.0,0.0,0.0,0.0,0.0,0.95,2.22,0.0
0.0,0.0,0.0,0.0,0.0,0.95,2.19,1.0
0.0,0.0,0.0,0.0,0.0,1.05,2.25,0.0
0.0,0.0,0.0,0.0,0.0,1.03,2.27,0.0
0.0,0.0,0.0,0.0,0.0,1.04,2.26,0.0
0.0,0.0,0.0,0.0,0.0,1.05,2.28,0.0
0.0,0.0,0.0,0.0,0.0,1.06,2.26,0.0
0.0,0.0,0.0,0.0,0.0,1.05,2.28,0.0
0.0,0.0,0.0,0.0,0.0,1.05,2.27,0.0
0.0,0.0,0.0,0.0,0.0,1.06,2.29,0.0
0.0,0.0,0.0,0.0,0.0,1.05,2.27,0.0
0.0,0.0,0.0,0.0,0.0,1.06,2.29,0.0
0.0,0.0,0.0,0.0,0.0,1.07,2.28,0.0
0.0,0.0,0.06,0.06,0.06,1.05,2.3,0.0
0.0,0.0,0.24,0.24,0.24,1.06,2.29,0.0
0.0,0.0,0.42,0.42,0.42,1.07,2.31,0.0
0.0,0.0,0.6,0.6,0.59,1.08,2.29,0.0
0.0,0.0,0.78,0.77,0.77,1.07,2.31,0.0
0.0,0.11,0.95,0.95,0.95,1.07,2.3,0.0
0.0,0.25,1.13,1.13,1.13,1.08,2.32,0.0
0.0,0.37,1.31,1.31,1.31,1.07,2.3,0.0
0.0,0.51,1.49,1.49,1.49,1.08,2.33,0.0
0.0,0.64,1.67,1.67,1.66,1.09,2.31,0.0
0.0,0.77,1.84,1.84,1.84,1.1,2.33,2.0
0.0,0.67,1.83,1.83,1.84,0.99,2.27,2.0
0.0,0.59,1.78,1.78,1.79,0.91,2.19,0.0
0.0,0.72,1.95,1.96,1.96,0.89,2.19,2.0
0.0,0.63,1.86,1.89,1.9,0.8,2.08,2.0
0.0,0.54,1.78,1.79,1.8,1.16,2.0,2.0
0.0,0.45,1.71,1.72,1.73,1.26,1.93,2.0
0.0,0.35,1.64,1.65,1.66,1.32,1.85,2.0
